user_name,user_zloa_score,user_damage
간즈,3319.65,42.96
흑인파워,3285.46,34.21
무중력,3279.06,36.1
적뿡,3108.52,40.31
나르미초롱이,3084.76,39.71
병만,2907.29,39.35
NewAZ,2900.04,34.17
두븅,2611.84,31.44
비에이치씨레드킹,2730.08,30.9
살크업,2928.07,37.02
호미닛,2695.97,36.14
똥독잉,2811.78,35.77
왕자,2911.38,37.61
마초남의출사표,2632.35,35.97
디트오빵,2548.43,34.03
노인의마지막퍼펙트헛스윙,2824.04,34.74
민석망치,2601.14,28.68
김디붕,2074.89,22.26
흑망치돈까스,2441.6,34.22
wREXX,2790.9,36.91
마라탕매우순한맛,2522.55,27.95
올라프,2993.52,36.13
신선한망치,2914.24,33.8
민섭이의피바다,2745.5,39.06
헣헣헣,2507.6,35.06
RockHoward,2505.97,32.69
차밍재혁,2824.66,33.25
킹릅,2479.4,11.02
섹시망치맨,2697.08,27.57
츄츄캉,2589.03,29.6
분위기망치는김망치,2608.87,35.11
aoaos3,2651.87,28.93
재떡망치,2933.45,35.11
능이,2827.53,30.62
예배,2484.39,31.31
미스터오함마,2593.59,8.94
와일드센스,2637.49,35.35
Submarine,2668.24,29.49
딴따라전,2595.21,35.23
레이널드,2443.71,7.0
야와야,2418.82,31.74
망치,2617.05,1.76
디붕의왕,2623.7,30.05
훔밈,2597.44,32.03
순정마초두개골,2656.22,34.08
디붕형,2539.81,3.01
고난,2362.07,33.23
황금나무망치,2893.41,37.22
경이로운뚱보,2807.05,37.41
성남매콤망치,2937.01,38.18
우울한당근,2684.67,3.6
예하온,2497.74,34.46
누삼,2499.28,28.27
레온형,2433.52,32.76
아브라함,2233.94,29.42
오함마냥,2663.26,5.03
주니어와플,2476.75,5.46
치명적인유히,2725.97,30.69
돌돌이,2586.6,34.88
냉탕에죠스,2312.71,27.47
슈라라,2500.51,34.25
엘듀붕,2429.66,33.29
스와니깡,2366.33,32.85
닉넴이젤귀찮아,2379.1,30.74
김빵밀,2386.57,30.09
퍼스펑,2347.64,31.59
쏭기7,2573.12,34.46
맛있는망치GT,2455.96,26.7
스맨신,2223.31,30.24
킴필두,2862.9,31.43
공필악,2334.91,32.65
꼬마시,2286.91,31.49
김디환,2794.13,34.67
니랩의잠이오냐,2598.03,28.37
래퍼짱구,2194.84,30.52
가뜨수,2331.1,31.79
디스트똥코코,2321.64,33.23
진욱킴,2654.1,37.2
김페이지,2769.15,35.67
루테란망치,2410.93,34.05
호요리,2471.17,34.02
PYGAMJA,2393.65,33.31
v사이버돌쇠v,2996.4,34.92
토디,2316.65,32.09
벅벅긁적긁적,2560.4,29.22
든붕,2719.1,35.88
소락,2593.0,13.22
머리한번만요,2432.62,26.16
우스킹,2337.01,24.92
보학,2354.92,27.87
핵G강,2607.28,29.15
500won,2277.95,2.25
코로나망치,2318.39,31.6
섬마디트,2788.33,19.08
은평구뚱땡이,2446.46,27.93
별빛디붕,2585.77,26.66
비씨디붕,2541.19,33.25
씨빵,2364.44,30.33
일격에주님,2176.31,29.09
디붕이는울지않을거야,2564.29,33.87
취목,2491.43,31.78
윤맹취,2551.6,32.68
불만이냐,2436.44,30.28
리멤브란서가그린불칸,2386.59,31.76
용용죽겠딩,2282.52,31.72
미트푸셔,2174.41,24.47
악접,2430.87,27.42
너무귀여운디스트로이어,2580.47,30.37
설시안,2268.39,31.54
라이게키,2431.47,32.55
청하나,2412.74,6.65
앙포커띠,2330.28,29.4
유독성,2367.21,27.58
모험가김루빅,2562.73,35.12
v쁘띠스윙v,2329.99,29.95
강결이,2423.1,34.03
웜마,2592.65,26.7
인왕산불곰,2452.34,24.79
효진세,2632.83,33.56
머머리는외계인,2441.85,29.89
적목,2370.84,31.52
30년원조망치돈까스명인,2538.42,31.23
순사미,2281.18,30.32
흑형알리,2558.54,32.6
망치잡이쿵쿵쿠쿠쿵,2940.86,32.17
01029261934,2389.74,32.76
한국오도해병,2086.95,27.26
대구꿀망치,2378.07,29.89
으뜸망티,2478.37,33.63
땡땡,2240.8,25.31
간다간다뿡망치,2547.35,29.72
중수광,2312.17,26.3
호두네엉아,2282.44,32.0
비상탈출쇼파,2309.94,32.57
돈가스장인남봉남,2212.27,2.66
짱난닭,2208.11,26.45
